Month,Exports,Imports,Balance
January 2005,"2,214.70","4,124.00","-1,909.20"
February 2005,"2,242.50","3,410.60","-1,168.10"
March 2005,"2,371.70","3,695.90","-1,324.20"
April 2005,"2,125.60","3,464.70","-1,339.10"
May 2005,"2,168.80","3,627.20","-1,458.40"
June 2005,"2,427.10","3,806.40","-1,379.30"
July 2005,"2,366.10","3,323.60",-957.5
August 2005,"2,352.30","3,661.20","-1,308.80"
September 2005,"2,137.30","3,343.00","-1,205.70"
October 2005,"2,522.20","3,727.00","-1,204.80"
November 2005,"2,015.60","3,901.30","-1,885.80"
December 2005,"2,627.60","3,696.60","-1,068.90"
January 2006,"2,506.00","3,890.90","-1,384.90"
February 2006,"2,344.40","3,559.60","-1,215.20"
March 2006,"2,976.80","3,773.10",-796.3
April 2006,"2,729.20","3,561.10",-831.9
May 2006,"2,411.50","4,061.50","-1,650.00"
June 2006,"2,725.50","3,885.60","-1,160.00"
July 2006,"2,555.70","3,854.00","-1,298.30"
August 2006,"2,888.30","4,015.60","-1,127.30"
September 2006,"2,878.20","3,687.50",-809.3
October 2006,"2,632.30","3,965.00","-1,332.70"
November 2006,"2,615.60","3,836.70","-1,221.10"
December 2006,"2,955.60","3,713.00",-757.4
January 2007,"2,691.20","4,220.10","-1,528.90"
February 2007,"2,540.90","3,600.50","-1,059.60"
March 2007,"2,954.60","4,211.70","-1,257.10"
April 2007,"2,989.80","4,047.00","-1,057.10"
May 2007,"2,733.50","4,273.20","-1,539.70"
June 2007,"3,062.60","3,997.20",-934.6
July 2007,"2,788.80","4,259.60","-1,470.80"
August 2007,"2,910.20","3,792.00",-881.8
September 2007,"2,581.70","3,517.30",-935.6
October 2007,"3,188.70","3,937.00",-748.3
November 2007,"2,902.20","4,215.40","-1,313.20"
December 2007,"3,057.40","3,491.30",-433.9
January 2008,"2,738.70","3,890.40","-1,151.70"
February 2008,"2,745.60","3,828.40","-1,082.80"
March 2008,"3,191.90","4,006.20",-814.3
April 2008,"3,145.20","4,403.50","-1,258.20"
May 2008,"3,091.50","4,261.90","-1,170.50"
June 2008,"3,387.40","3,960.80",-573.4
July 2008,"3,197.30","4,500.00","-1,302.70"
August 2008,"3,092.80","3,859.00",-766.2
September 2008,"2,931.70","4,130.70","-1,199.00"
October 2008,"2,911.50","4,326.00","-1,414.50"
November 2008,"2,373.80","3,617.00","-1,243.20"
December 2008,"1,861.30","3,285.20","-1,423.90"
January 2009,"1,669.60","3,600.00","-1,930.40"
February 2009,"1,975.40","2,864.00",-888.5
March 2009,"2,030.60","3,185.30","-1,154.70"
April 2009,"2,055.40","3,090.80","-1,035.40"
May 2009,"2,466.50","3,191.80",-725.3
June 2009,"2,375.80","3,287.40",-911.6
