"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-01","Jan-2005","IDX","Index","0","Units",,,99.89162,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-02","Feb-2005","IDX","Index","0","Units",,,99.94411,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-03","Mar-2005","IDX","Index","0","Units",,,100.0067,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-04","Apr-2005","IDX","Index","0","Units",,,100.0641,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-05","May-2005","IDX","Index","0","Units",,,100.1434,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-06","Jun-2005","IDX","Index","0","Units",,,100.2748,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-07","Jul-2005","IDX","Index","0","Units",,,100.4613,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-08","Aug-2005","IDX","Index","0","Units",,,100.6854,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-09","Sep-2005","IDX","Index","0","Units",,,100.909,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-10","Oct-2005","IDX","Index","0","Units",,,101.0972,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-11","Nov-2005","IDX","Index","0","Units",,,101.211,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2005-12","Dec-2005","IDX","Index","0","Units",,,101.2294,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-01","Jan-2006","IDX","Index","0","Units",,,101.1514,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-02","Feb-2006","IDX","Index","0","Units",,,100.9998,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-03","Mar-2006","IDX","Index","0","Units",,,100.8038,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-04","Apr-2006","IDX","Index","0","Units",,,100.5964,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-05","May-2006","IDX","Index","0","Units",,,100.4063,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-06","Jun-2006","IDX","Index","0","Units",,,100.2725,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-07","Jul-2006","IDX","Index","0","Units",,,100.2351,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-08","Aug-2006","IDX","Index","0","Units",,,100.2903,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-09","Sep-2006","IDX","Index","0","Units",,,100.3764,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-10","Oct-2006","IDX","Index","0","Units",,,100.443,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-11","Nov-2006","IDX","Index","0","Units",,,100.4696,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2006-12","Dec-2006","IDX","Index","0","Units",,,100.4754,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2007-01","Jan-2007","IDX","Index","0","Units",,,100.4989,,
"LOLITOAA","Amplitude adjusted (CLI)","KOR","Korea","M","Monthly","2007-02","Feb-2007","IDX","Index","0","Units",,,100.5683,,
